"Transfer TimeStamp","Transfer Date","Line Item Amount EUR","Acct. Label","Report Code","Event Period","District Office","Event Type","Expense Description","Expense Type","Travel Mode","Travel Dist"
21-May-16,21-May-16,42.50,E7062,TR958B,Jan-2016,I1,Club visit,Club Visit Kempten - prospected club,Travel,Car,125 km
21-May-16,21-May-16,234.26,E7062,TR958A,Feb-2016,I1,DECM,Travel cost fr DECM,Travel,Car,689 km
14-Jun-16,14-Jun-16,40.00,E7058,TR958A,Feb-2016,I1,DECM,Travel cost fr DECM,Lodging,,
14-Jun-16,14-Jun-16,10.00,E7058,TR958A,Feb-2016,I1,DECM,Travel cost for DECM Breakfast,Lodging,,
23-Mar-16,23-Mar-16,20.00,R6050,CO151,Nov-2015,PQD,Other,"Bought full standard package for 99 EUR, as contestant was entitled to 79 EUR.",Other,,
31-Mar-16,31-Mar-16,20.00,R6050,CO151,Nov-2015,D95,Other,"Prague Contestant, Paid 99 for full standard package, was entitled to 79 EUR",Other,,
02-May-16,02-May-16,40.00,E7058,TR958A,Feb-2016,F1,DECM,DECM Budapest (Hotel Leonardo: 2 overnight stay) ,Lodging,,
02-May-16,02-May-16,164.98,E7060,TR958A,Feb-2016,F1,DECM,DECM Budapest (Flight) ,Travel,Air,901 km
02-May-16,02-May-16,20.77,E7062,TR958A,Feb-2016,F1,DECM,DECM Budapest Febr. 2016 (Travel Home - Stuttgart Airport) ,Travel,Car,61.1 km
02-May-16,02-May-16,14.79,E7062,TR958B,Mar-2016,F1,Club visit,"Rednermanufaktur (1600517) - club visit 2. Total (down + back) 2x43,5 km (0.17 Euro/km)",Travel,Car,87.0 km
21-May-16,21-May-16,14.79,E7062,TR958B,Mar-2016,F1,Club visit,"Verdi Rhetorikklub (710988) - 2nd club visit. total (down + back) 2x43,5 km (0.17 Euro/km)",Travel,Car,87.0 km
21-May-16,21-May-16,5.20,E7062,TR958B,Mar-2016,F1,Club visit,"Heilbronn Toastmasters Club (3395328) - 2nd club visit. total (down + back) 15,3 km + 15,3 km (0.17 Euro/km)",Travel,Car,"15,3 km"
14-Jun-16,14-Jun-16,20.54,E7062,TR958B,Mar-2016,F1,Club visit,"Stuttgart Intl Club Böblingen (3658), 2nd club visit, total (down + back) 2 x 60,4 km ",Travel,Car,60.4 km
02-Feb-16,02-Feb-16,57.12,E7062,TR957B,Nov-2015,G0,Club visit,Area G2  Club Visit ,Travel,Car,168 km
02-Feb-16,02-Feb-16,14.61,E7020,MK520,Oct-2015,G0,Conference,Print  promotion CAP and Spring Conf for Div G Conference Tallinn,Marketing,,
29-Mar-16,29-Mar-16,44.50,E7020,MK520,Nov-2015,G0,Other,Printing - PR & Communication- Esbjerg Open meeting,Marketing,,
29-Mar-16,29-Mar-16,28.39,E7078,ET702,Jan-2016,G0,COT,"Snacks, coffee, fruits and printing training  materials",Refreshments,,
29-Mar-16,29-Mar-16,23.52,E7020,ET702,Jan-2016,G0,COT,"Snacks, coffee, fruits and printing training  materials",Refreshments,,
29-Mar-16,29-Mar-16,210.74,E7060,TR957A,Feb-2016,G0,DECM,Flight Billund-Amsterdam-Budapest-Amsterdam-Billund,Travel,Air,
29-Mar-16,29-Mar-16,32.06,E7062,TR957A,Feb-2016,G0,DECM,"Driving Home (05.02)- Billund Airport_Home (07.02) (16,92eur x 2 times)",Travel,Car,99.5 km
15-Jun-16,15-Jun-16,22.10,E7062,TR957B,Mar-2016,G0,Other,"driving from work (Haderslev) to Kolding TM demo meeting, parking and driving to Aarhus",Travel,Car,130 km
15-Jun-16,15-Jun-16,115.01,E7072,MK520,Apr-2016,G0,Other,Postdanmark for TI order90052222022-423.40USD,Other,,
15-Jun-16,15-Jun-16,91.36,E7072,MK520,Apr-2016,G0,Other,Postdanmark for TI order9005570975- 311.36USD,Other,,
30-Jun-16,30-Jun-16,411.84,E7006,MK520,Apr-2016,G0,Other,Marketing & Education Division G,Marketing,,
30-Jun-16,30-Jun-16,294.93,E7006,MK520,Apr-2016,G0,Other,Marketing & Education Division G,Marketing,,
30-Jun-16,30-Jun-16,59.55,E7062,TR957B,Apr-2016,G0,Club visit,"Travel by car: 167kmx2 (tur-retur)x0,17=56,78",Travel,Car,167 km
30-Jun-16,30-Jun-16,48.14,E7062,TR957B,Apr-2016,G0,Club visit,"ClubVisit: 135 km x 2 (tur-retur) x 0,17=45,90",Travel,Car,135 km
03-Jun-16,03-Jun-16,4161.60,E7014,CO152,May-2016,SC95,Conference,Venue Rental 2,Venue rental,,
12-Feb-16,12-Feb-16,334.78,E7060,TR962,Oct-2015,K0,Speech contest,Keynote Speaker flight  Ireland to Tallinn,Travel,Air,"3,207 km"
12-Feb-16,12-Feb-16,91.00,E7058,TR962,Oct-2015,K0,Speech contest,Keynote Speaker lodging in Tallinn,Lodging,,
26-Apr-16,26-Apr-16,100.00,E7014,ET300,Jan-2016,C0,TLI,7014 - room rentals (receipt # V-1509-1674-vs from garage berlin + proof of payment)),Venue rental,,
23-Mar-16,23-Mar-16,466.45,E7060,TR962,Mar-2016,PQD,Conference,Mohammed Qahtani Flight Ticket * 1/3,Travel,Air,
26-Apr-16,26-Apr-16,6.88,E7020,CO154,Oct-2015,L4,Conference,Area conference printing expenses,Conference,,
26-Apr-16,26-Apr-16,13.98,E7066,TR958B,Nov-2015,L4,Club visit,Club visit travel expenses (train + public transport),Travel,Other,168 km
26-Apr-16,26-Apr-16,43.94,E7066,TR958A,Feb-2016,L4,DECM,Train ticket to DECM,Travel,Train,242 km
26-Apr-16,26-Apr-16,106.00,E7014,ET704,Feb-2016,L4,DECM,Voice workshop - room rental,Venue rental,,
29-Jun-16,29-Jun-16,13.98,E7066,TR958B,May-2016,L4,Club visit,"Train ticket (2 pages, there and back) + public transport ticket",Travel,Train,171 km
29-Jun-16,29-Jun-16,49.25,E7020,MK520,May-2016,L4,Other,Printing expense - flyers,Marketing,,
29-Jun-16,29-Jun-16,40.65,E7020,MK520,May-2016,L4,Other,Printing expense - business cards,Marketing,,
30-Jun-16,30-Jun-16,32.15,E7020,CO151,Nov-2016,AC95,Conference,Leaflets promoting fall conference in Timisoara,Marketing,,
30-Jun-16,30-Jun-16,19.65,E7008,CO151,Nov-2016,AC95,Conference,Sweets promoting fall conference in Timisoara,Marketing,,
04-Feb-16,04-Feb-16,94.47,E7014,CO153,Oct-2015,C0,Conference,"Division C Conference - net loss income (room rentals, equipment, refreshments, awards, copies)",Conference,,
16-Mar-16,16-Mar-16,48.00,E7080,ET300,Jan-2016,C0,TLI,TLI-Meal-Event-Expense (TLI-Room-Rental is another Reimbursement-Request),Refreshments,,
16-Mar-16,16-Mar-16,50.00,E7078,ET300,Jan-2016,C0,TLI,TLI-Meal-Event-Expense (TLI-Room-Rental is another Reimbursement-Request),Refreshments,,
16-Mar-16,16-Mar-16,235.62,E7060,TR957A,Feb-2016,C0,DECM,Flight Division Director to DECM Budapest,Travel,Air,693 km
16-Mar-16,16-Mar-16,66.30,E7062,TR957B,Jan-2016,C0,TLI,Travel coast Division Director to TLI (in Travel-Budget calculated),Travel,Car,195 km
02-Feb-16,02-Feb-16,40.00,E7058,TR951,Nov-2015,DD,Conference,District 95 Conference,Lodging,,
